,Source,Destination,TravelTimeInMin
597,BANASHANKARI,KORAMANGALA,64
598,KORAMANGALA,BELLANDUR,49
599,BELLANDUR,KORAMANGALA,49
600,KORAMANGALA,BILEKAHALLI,52
601,BILEKAHALLI,KORAMANGALA,52
602,KORAMANGALA,BOMMANAHALLI,46
603,BOMMANAHALLI,KORAMANGALA,46
604,KORAMANGALA,BOMMASANDRA,66
605,BOMMASANDRA,KORAMANGALA,66
606,KORAMANGALA,BTM LAYOUT,48
607,BTM LAYOUT,KORAMANGALA,48
608,KORAMANGALA,CHOODASANDRA,63
609,CHOODASANDRA,KORAMANGALA,63
610,KORAMANGALA,DOMLUR,48
611,DOMLUR,KORAMANGALA,48
612,KORAMANGALA,ELECTRONIC CITY,55
613,ELECTRONIC CITY,KORAMANGALA,55
614,KORAMANGALA,HARALUR,56
615,HARALUR,KORAMANGALA,56
616,KORAMANGALA,J. P. NAGAR,64
617,J. P. NAGAR,KORAMANGALA,64
618,KORAMANGALA,JAYANAGAR,47
619,JAYANAGAR,KORAMANGALA,47
620,KORAMANGALA,KAIKONDRAHALLI,50
621,KAIKONDRAHALLI,KORAMANGALA,50
622,KORAMANGALA,KASAVANAHALLI,56
